"filename", "language", "PostCSS", "JavaScript", "XML", "comment", "blank", "total"
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\hooks\db\useLikes.js", "JavaScript", 0, 71, 0, 1, 17, 89
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\hooks\db\usePostAnalytics.js", "JavaScript", 0, 64, 0, 0, 22, 86
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\hooks\db\useStats.js", "JavaScript", 0, 88, 0, 0, 19, 107
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\hooks\db\useUploadAvatar.js", "JavaScript", 0, 89, 0, 1, 24, 114
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\hooks\useAlert.js", "JavaScript", 0, 21, 0, 0, 6, 27
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\hooks\useClickOutside.js", "JavaScript", 0, 14, 0, 0, 5, 19
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\hooks\useDarkMode.js", "JavaScript", 0, 7, 0, 0, 3, 10
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\hooks\useWindowSize.js", "JavaScript", 0, 20, 0, 0, 8, 28
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\AccountAdd.js", "JavaScript", 0, 14, 0, 0, 2, 16
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\Add.js", "JavaScript", 0, 11, 0, 0, 2, 13
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\BackArrow.js", "JavaScript", 0, 15, 0, 0, 2, 17
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\Close.js", "JavaScript", 0, 14, 0, 0, 2, 16
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\Comment.js", "JavaScript", 0, 14, 0, 0, 2, 16
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\Community.js", "JavaScript", 0, 18, 0, 0, 2, 20
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\DownArrow.js", "JavaScript", 0, 18, 0, 0, 2, 20
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\Edit.js", "JavaScript", 0, 14, 0, 0, 2, 16
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\Eye.js", "JavaScript", 0, 14, 0, 0, 2, 16
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\Facebook.js", "JavaScript", 0, 18, 0, 0, 2, 20
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\Flash.js", "JavaScript", 0, 14, 0, 0, 2, 16
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\Heart.js", "JavaScript", 0, 20, 0, 0, 2, 22
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\ImageIcon.js", "JavaScript", 0, 14, 0, 0, 2, 16
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\Instagram.js", "JavaScript", 0, 14, 0, 0, 2, 16
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\LinkedIn.js", "JavaScript", 0, 17, 0, 0, 2, 19
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\Lock.js", "JavaScript", 0, 14, 0, 0, 2, 16
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\Mail.js", "JavaScript", 0, 14, 0, 0, 2, 16
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\Menu.js", "JavaScript", 0, 19, 0, 0, 2, 21
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\MenuClose.js", "JavaScript", 0, 19, 0, 0, 2, 21
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\NavIcons\Add.js", "JavaScript", 0, 14, 0, 0, 1, 15
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\NavIcons\Bookmark.js", "JavaScript", 0, 14, 0, 0, 1, 15
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\NavIcons\Categories.js", "JavaScript", 0, 18, 0, 0, 2, 20
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\NavIcons\Draft.js", "JavaScript", 0, 20, 0, 0, 2, 22
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\NavIcons\ExploreIcon.js", "JavaScript", 0, 14, 0, 0, 2, 16
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\NavIcons\Feed.js", "JavaScript", 0, 15, 0, 0, 2, 17
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\NavIcons\Following.js", "JavaScript", 0, 23, 0, 0, 2, 25
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\NavIcons\Hashtag.js", "JavaScript", 0, 14, 0, 0, 1, 15
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\NavIcons\HomeIcon.js", "JavaScript", 0, 14, 0, 0, 2, 16
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\NavIcons\Logout.js", "JavaScript", 0, 14, 0, 0, 2, 16
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\NavIcons\Moon.js", "JavaScript", 0, 15, 0, 0, 2, 17
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\NavIcons\Notification.js", "JavaScript", 0, 14, 0, 0, 2, 16
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\NavIcons\People.js", "JavaScript", 0, 21, 0, 0, 2, 23
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\NavIcons\ProfileIcon.js", "JavaScript", 0, 18, 0, 0, 2, 20
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\NavIcons\Settings.js", "JavaScript", 0, 20, 0, 0, 2, 22
