Date : 2026-07-29 12:45:45
Directory : c:\Users\HP\Documents\Courses\react.js\trendy-blog\src
Total : 149 files,  10932 codes, 476 comments, 1457 blanks, all 12865 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |        133 |      8,098 |        386 |        984 |      9,468 |
| PostCSS    |         15 |      2,833 |         90 |        473 |      3,396 |
| XML        |          1 |          1 |          0 |          0 |          1 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                      | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\components\notifications\notif-item.js             | JavaScript |         90 |          0 |         10 |        100 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\components\onboarding\onboarding.js                | JavaScript |         23 |          0 |          6 |         29 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\components\post\Post.css                           | PostCSS    |        334 |          2 |         56 |        392 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\components\post\Post.js                            | JavaScript |        216 |          2 |         25 |        243 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\components\post\drafts-post.js                     | JavaScript |        101 |         49 |         12 |        162 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\components\post\list-view-post.css                 | PostCSS    |        341 |          2 |         56 |        399 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\components\post\list-view-post.js                  | JavaScript |        125 |          0 |         16 |        141 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\components\settings\Account.js                     | JavaScript |        450 |          4 |         30 |        484 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\components\settings\DangerZone.js                  | JavaScript |         82 |         13 |          8 |        103 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\components\settings\DeleteAccountModel.js          | JavaScript |        132 |          3 |         11 |        146 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\components\settings\DeletePostsModel.js            | JavaScript |        131 |          3 |         11 |        145 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\components\settings\Input.js                       | JavaScript |         74 |          0 |          8 |         82 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\components\settings\NotifItem.js                   | JavaScript |         59 |          0 |          5 |         64 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\components\settings\Notifications.js               | JavaScript |        132 |          0 |         12 |        144 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\components\settings\SectionHeader.js               | JavaScript |         26 |          0 |          4 |         30 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\components\settings\log-out.js                     | JavaScript |        150 |          0 |         16 |        166 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\components\sidebar\NavGroupe.js                    | JavaScript |         31 |          0 |          6 |         37 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\components\sidebar\NavItem.js                      | JavaScript |         60 |          0 |          7 |         67 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\components\sidebar\Sidebar.js                      | JavaScript |         68 |          0 |          5 |         73 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\components\sidebar\SidebarSection.js               | JavaScript |         20 |          0 |          5 |         25 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\components\ui\coming-soon.js                       | JavaScript |         69 |          0 |          5 |         74 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\components\ui\confirmationModel.js                 | JavaScript |         75 |          0 |          8 |         83 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\components\ui\loader.js                            | JavaScript |         41 |          0 |          5 |         46 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\components\ui\notify.js                            | JavaScript |         52 |          0 |          5 |         57 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\components\ui\picture-preview.js                   | JavaScript |         55 |         24 |          8 |         87 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\components\ui\primary\PrimaryLink.js               | JavaScript |         34 |          0 |          5 |         39 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\components\ui\search\Search.css                    | PostCSS    |         52 |          0 |          7 |         59 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\components\ui\search\Search.js                     | JavaScript |         54 |          0 |          6 |         60 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\components\ui\switch\Switch.js                     | JavaScript |         64 |          0 |          4 |         68 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\components\ui\theme\Theme.js                       | JavaScript |         49 |          0 |          6 |         55 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\data\navigation.js                                 | JavaScript |         78 |         35 |          3 |        116 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\data\notifications-list.js                         | JavaScript |         38 |          0 |          4 |         42 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\data\stats.js                                      | JavaScript |         27 |          0 |          3 |         30 |
